22-1-20 07:33:14
Fatal:	Access violation
30-4-20 15:22:41	Other       :	Current minimium = 7.78455398411165E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.78055401534736E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.77899845644256E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.77749698277286E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.77742209471982E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.77175540756678E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.77132479542921E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.76935919726785E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.76833008997616E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.76684808066251E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.76464329222437E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.76461817587393E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.75842221424984E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.75662272792292E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.75617329021976E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.75427309360139E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.75170227101103E-8
30-4-20 15:22:41	Other       :	Current minimium = 7.74704868051291E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.74329128005465E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.73278396232284E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72992888159739E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72955436534715E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72825240427107E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72407921872447E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72238933346655E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.72126323409078E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.7146059372055E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.70763394045642E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.70326595403261E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.69875715934542E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.6952480473851E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.68082134965777E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.67930524987958E-8
30-4-20 15:22:42	Other       :	Current minimium = 7.67582529413276E-8
